Word,Length,SUBTLWF,POS,Mean_RT
inviolability,13,0.04,NN,1003.45
taught,6,43.84,VB,627.81
sentinels,9,0.31,NN,863.73
wound,5,26.53,VB,575.94
elitist,7,0.45,JJ,905.17
braver,6,1.14,JJ,666.19
overheat,8,0.35,VB,776.68
mother,6,479.92,NN,566.21
streamlined,11,0.37,JJ,780.97
deflation,9,0.06,NN,801.03
furthermost,11,0.04,JJ,849.68
crackpot,8,0.96,NN,678.59
capacity,8,8.1,NN,649.7
interfering,11,3.06,VB,1100.8
uselessness,11,0.1,NN,949.62
imposition,10,0.76,NN,861.72
unappreciated,13,0.47,JJ,863.1
Britain,7,4.55,NN,718.24
unfolded,8,0.29,VB,685.55
pluralism,9,0.02,NN,755.76
desolate,8,0.98,JJ,801.06
loneliness,10,5,NN,679.41
damsel,6,0.88,NN,771.25
proletarian,11,0.16,JJ,980.53
mapped,6,0.9,VB,847.03
relocation,10,0.76,NN,730.65
malady,6,0.43,NN,771.4
distrustful,11,0.1,JJ,767.18
Monterey,8,1,NN,862.23
rightful,8,2.33,JJ,761.24
specialization,14,0.06,NN,771.61
knuckle,7,1.29,NN,707.84
Colombia,8,1.96,NN,734.11
coercive,8,0.14,JJ,823.82
overcrowd,9,0.02,VB,782.52
oafs,4,0.08,NN,845.35
productivity,12,0.57,NN,728.42
midpoint,8,0.04,NN,724.85
thorn,5,5.1,NN,726.56
cutlets,7,0.39,NN,861.41
remembrance,11,0.73,NN,822.32
finder,6,1.67,NN,652.19
evolution,9,5.33,NN,708.88
consciences,11,0.24,NN,852.59
throbbing,9,1.18,VB,709.97
copier,6,0.63,NN,638.03
Antarctica,10,1.04,NN,856.31
Salvador,8,2.02,NN,819.72
sardines,8,3.18,NN,878.05
heroism,7,1.1,NN,755.82
explosives,10,6.49,NN,777.63
opossum,7,0.08,NN,785.1
swirled,7,0.1,VB,702.16
traveling,9,14.2,VB,646.03
telescope,9,2.94,NN,707.35
psychologist,12,3.59,NN,812.53
protester,9,0.2,NN,805.09
kitchen,7,58.31,NN,545.76
arena,5,3.63,NN,721.41
whippet,7,0.1,NN,1209.67
Carl,4,27.27,NN,575.09
amaze,5,1.61,VB,596.32
pod,3,8,NN,679.62
hunk,4,5.16,NN,613.19
debark,6,0.06,VB,957.06
auspices,8,0.12,NN,874.86
legitimized,11,0.06,VB,841.69
entombed,8,0.27,VB,968.74
grumbled,8,0.04,VB,672.42
discretionary,13,0.41,JJ,939.13
transcended,11,0.18,VB,852.13
receiver,8,2.96,NN,742.73
departures,10,0.31,NN,687.19
radicalize,10,0.02,VB,927.5
unabated,8,0.18,JJ,1094.15
speakers,8,1.96,NN,653.71
survived,8,12.94,VB,674.97
Matthew,7,15.49,NN,666.89
barbed,6,1.31,JJ,857.11
criminology,11,0.29,NN,979.48
manger,6,1,NN,799.69
Manitoba,8,0.06,NN,758.59
discouraging,12,0.8,VB,845.09
governance,10,0.1,NN,805.42
basset,6,0.25,NN,868.41
whimsical,9,0.78,JJ,802.87
shirtsleeve,11,0.02,NN,980.91
vacancies,9,0.75,NN,906.89
escapee,7,0.22,NN,862.48
surfboard,9,0.92,NN,768.63
recessive,9,0.08,JJ,661.29
tamper,6,0.49,VB,701.79
indent,6,0.12,NN,853.55
sorghum,7,0.16,NN,843.6
symposium,9,0.69,NN,834.86
wreckage,8,2.08,NN,788.82
Coventry,8,0.61,NN,1000.83
traditional,11,8.14,JJ,663.79
haystack,8,1.37,NN,822.71
slipping,8,5.94,VB,662.15
ambiance,8,0.16,NN,891.65
nudity,6,1.75,NN,755.81
flaring,7,0.31,VB,749.21
clannish,8,0.1,JJ,969.73
consummation,12,0.2,NN,960.65
higher,6,27.84,JJ,598.48
rely,4,7.18,VB,684.4
multiplies,10,0.22,VB,806.18
resembling,10,0.59,VB,809.42
countries,9,10.53,NN,760.44
irritate,8,0.94,VB,752.39
truthfulness,12,0.18,NN,795.79
dalliance,9,0.22,NN,767
industrious,11,0.33,JJ,996.03
fineness,8,0.02,NN,1041.91
grocers,7,0.14,NN,760.74
fanatical,9,0.53,JJ,859.33
boatload,8,0.47,NN,821.96
eulogize,8,0.08,VB,866.29
purist,6,0.22,NN,759.77
taskmaster,10,0.16,NN,806.73
inscription,11,1.71,NN,806
protest,7,8.78,NN,583.29
strategist,10,0.41,NN,809.76
Marie,5,26.43,NN,683.53
chaplains,9,0.18,NN,860.33
exports,7,0.51,NN,681.5
payoff,6,2.22,NN,738.14
toga,4,0.92,NN,696.43
headroom,8,0.06,NN,827.55
conduct,7,11.1,VB,630.94
invocation,10,0.06,NN,896.11
mailed,6,2.08,VB,709.88
toothbrush,10,5,NN,622.69
moralize,8,0.02,VB,736.45
recondition,11,0.02,VB,913.61
remorseless,11,0.1,JJ,941.26
homegrown,9,0.14,NN,752.44
swindled,8,0.61,VB,752.09
steeples,8,0.1,NN,743.43
spooky,6,4.73,JJ,610.42
idols,5,0.47,NN,807.83
pallid,6,0.16,JJ,852.82
Dodger,6,1.27,NN,756.41
procreation,11,0.41,NN,1046.72
debris,6,3.12,NN,688.79
reverberation,13,0.08,NN,1027.21
referring,9,6.73,VB,704.57
parochial,9,0.33,JJ,892.33
watchers,8,0.98,NN,641.31
biscuit,7,3.75,NN,623.88
ancestral,9,0.57,JJ,816.73
arose,5,0.82,VB,635.91
predictions,11,0.82,NN,764.56
bulldozer,9,1.29,NN,672.94
conduit,7,1.04,NN,757.64
slowed,6,2.27,VB,653.13
parakeets,9,0.12,NN,790.21
tailspin,8,0.22,NN,837.82
nihilism,8,0.08,NN,763.5
fury,4,3.82,NN,685.06
waxen,5,0.12,JJ,690.35
frigidity,9,0.06,NN,868.27
gobbler,7,0.31,NN,776.15
briefcase,9,8.59,NN,646.61
culvert,7,0.37,NN,760.18
esquire,7,0.98,NN,840.14
raider,6,0.65,NN,722.06
interminable,12,0.31,JJ,1138.82
bursar,6,0.16,NN,772.9
subscriber,10,0.41,NN,767.35
thumbtack,9,0.18,NN,873.39
idleness,8,0.16,NN,860.79
horsefly,8,0.1,NN,870.19
turkey,6,22.61,NN,583.62
sociological,12,0.27,JJ,1065.68
caustic,7,0.14,JJ,740.1
appraisers,10,0.08,NN,788.31
posse,5,4.33,NN,779.71
declined,8,1.57,VB,666.06
inefficient,11,0.41,JJ,767.67
abutment,8,0.12,NN,1089.5
gift,4,64.51,NN,640.82
romp,4,0.53,NN,774.36
admire,6,14.16,VB,621.03
godchild,8,0.04,NN,877.8
closest,7,8.96,JJ,820.44
align,5,0.67,VB,673.96
violin,6,4.75,NN,706.9
called,6,340.02,VB,555.76
apologies,9,8.8,NN,761.41
detonating,10,0.41,VB,1022.92
lamp,4,12.88,NN,587.85
preceding,9,0.67,VB,729.97
postcards,9,2.08,NN,600
fielders,8,0.06,NN,860.18
microseconds,12,0.04,NN,866.37
squelch,7,0.24,VB,826.68
acquit,6,0.47,VB,832.44
readings,8,2.76,NN,648.74
shakedown,9,0.9,NN,754.97
eagle,5,11.49,NN,630.79
drunk,5,76.55,JJ,588.94
export,6,1.27,NN,590.03
isothermal,10,0.02,JJ,1137.28
surfer,6,1.63,NN,771.24
abrupt,6,1.14,JJ,690.97
pillows,7,3.16,NN,656.58
underweight,11,0.22,JJ,762.36
magnet,6,2.75,NN,638.82
nitrate,7,1.08,NN,919.73
adulterous,10,0.33,JJ,933.2
hoisted,7,0.41,VB,878.1
lantern,7,2.02,NN,726.5
Norman,6,16.86,NN,805.88
religious,9,13.86,JJ,717.03
Caucasian,9,2.75,NN,762.6
comely,6,0.37,JJ,846.28
toehold,7,0.14,NN,1095.17
astounded,9,0.24,VB,824.87
rainwater,9,0.22,NN,718.12
sacrilegious,12,0.39,JJ,1228.06
nutrition,9,0.94,NN,723.75
prosthesis,10,0.18,NN,1041.48
footboard,9,0.02,NN,821.03
starvation,10,1.47,NN,804.56
giveaway,8,0.78,NN,682.27
Janet,5,17.9,NN,582.79
Tommy,5,48.22,NN,645.76
memorized,9,2.14,VB,686.09
tofu,4,2.69,NN,722.38
myrrh,5,0.25,NN,877.43
hijacked,8,2.16,VB,762.58
totalitarian,12,0.16,JJ,893.92
exemplified,11,0.18,VB,880.58
administered,12,1.49,VB,772.19
trashcan,8,0.37,NN,846.04
unreliable,10,1.67,JJ,759.34
hooking,7,2.53,VB,654.49
communicational,15,0.02,JJ,969.97
agent,5,102.65,NN,626.67
ricocheted,10,0.16,VB,951.78
stronghold,10,1.18,NN,760.57
indubitable,11,0.02,JJ,889.64
aloof,5,0.65,JJ,702.15
inductions,10,0.02,NN,897.97
capacious,9,0.06,JJ,836.12
housemaster,11,0.08,NN,859.81
ghouls,6,0.92,NN,876.95
misshapen,9,0.29,JJ,899.29
hirelings,9,0.02,NN,693.22
deliberation,12,0.39,NN,863.42
undergoing,10,0.69,VB,676.94
population,10,9.1,NN,675.76
regularize,10,0.02,VB,851.28
quickstep,9,0.14,NN,761.06
biologist,9,1.25,NN,759.59
discretion,10,3.67,NN,842.06
sapling,7,0.18,NN,753.6
licentious,10,0.04,JJ,831
ideological,11,0.14,JJ,804.55
Solomon,7,3.04,NN,684.23
malpractice,11,1.55,NN,808.93
bandmaster,10,0.02,NN,929
Edgar,5,12.67,NN,712.52
eyeing,6,0.8,VB,714.75
cellulose,9,0.12,NN,816
designers,9,1.06,NN,725.59
mileage,7,1.98,NN,745.73
trend,5,2.08,NN,661.46
girlhood,8,0.06,NN,782.97
frustration,11,2.98,NN,720.9
demoralize,10,0.06,VB,782.23
supersede,9,0.16,VB,845.71
hoop,4,2.69,NN,613.47
neurologist,11,1,NN,750.21
totality,8,0.14,NN,856.26
woebegone,9,0.02,JJ,863.33
jackets,7,3.43,NN,668.38
amino,5,0.61,NN,876
neuromuscular,13,0.06,JJ,1137.75
foxhound,8,0.04,NN,763.07
Dalton,6,3.76,NN,719.54
clarifies,9,0.02,VB,863.78
humankind,9,0.69,NN,731.48
canny,5,0.22,JJ,758.83
backyard,8,7.24,NN,647.58
inexorable,10,0.12,JJ,789.33
unstudied,9,0.02,JJ,803.63
cob,3,0.69,NN,707.14
nameless,8,1.41,JJ,682.32
looker,6,1.04,NN,668.36
recovery,8,9.1,NN,699.52
Manchester,10,2.71,NN,733.85
furtive,7,0.31,JJ,860.86
logger,6,0.12,NN,741.97
doled,5,0.08,VB,868.83
subspace,8,0.53,NN,806.22
osmosis,7,0.29,NN,744.13
meatball,8,2.59,NN,638.28
hazelnuts,9,0.04,NN,806.09
adjournment,11,0.22,NN,977.61
coerce,6,0.41,VB,863.25
itching,7,2.25,VB,644
mentality,9,2.12,NN,808.8
vaccine,7,1.92,NN,784.81
hearers,7,0.02,NN,793.67
bashful,7,1.24,JJ,662.76
knavery,7,0.02,NN,1007.14
couches,7,0.43,NN,712.26
ballroom,8,4.31,NN,655.78
Reuben,6,1.18,NN,798.04
cooler,6,7.06,JJ,574.22
defence,7,8.02,NN,832.78
nonpartisan,11,0.02,JJ,1053.76
snooty,6,0.63,JJ,793.9
governmental,12,0.55,JJ,833.07
ledger,6,1.22,NN,704.87
solidifies,10,0.02,VB,919.38
tarragon,8,0.27,NN,949
taxation,8,0.29,NN,761.66
explanatory,11,0.04,JJ,786.94
mills,5,4.45,NN,682.24
scene,5,74.65,NN,570
suffragette,11,0.16,NN,1048.14
inning,6,2.51,NN,783.31
ignorant,8,6.25,JJ,683.31
rhomboid,8,0.08,NN,990.5
rheumatism,10,0.69,NN,938.59
rotations,9,0.18,NN,786
lanterns,8,0.61,NN,769.29
tentative,9,0.49,JJ,738.68
likeness,8,1.92,NN,665.79
unconquerable,13,0.06,JJ,929.85
unblemished,11,0.22,JJ,868.43
clocked,7,1.25,VB,701.42
purpose,7,35.08,NN,678.94
foretell,8,0.31,VB,842.28
fatherland,10,0.76,NN,785.52
jackal,6,1.59,NN,747.14
negotiated,10,1.31,VB,671.27
doubled,7,3.57,VB,725.3
synchronize,11,0.67,VB,772.12
virtuosity,10,0.18,NN,752.52
skilful,7,0.2,JJ,727.64
brittle,7,1.39,JJ,691.1
hissed,6,0.25,VB,683.43
controller,10,1.29,NN,662.06
misadventure,12,0.2,NN,911.65
delineation,11,0.02,NN,901.94
mica,4,0.12,NN,844.11
writhing,8,0.41,VB,791.71
stoneware,9,0.04,NN,750.55
nonviolent,10,0.63,JJ,899.14
recoil,6,0.43,VB,722.53
deportment,10,0.24,NN,1143.58
aristocracy,11,0.63,NN,925.03
kicker,6,1.06,NN,635.53
ascertain,9,0.96,VB,888.93
disintegrate,12,0.51,VB,1043
confuse,7,4.76,VB,703.8
pupate,6,0.06,VB,761.4
skydiver,8,0.08,NN,696.48
Bismarck,8,2,NN,899.7
encores,7,0.14,NN,795.92
intruding,9,1.84,VB,752.17
paradigmatic,12,0.02,JJ,1098.56
insanity,8,7.67,NN,792.63
admissions,10,2.18,NN,685.88
greets,6,0.43,VB,738.48
impassioned,11,0.37,JJ,835.17
insatiable,10,0.98,JJ,835.71
malcontent,10,0.2,NN,925.48
farces,6,0.02,NN,947.24
crepe,5,0.82,JJ,825.74
mere,4,7.86,JJ,727.72
inevitabilities,15,0.02,NN,1020.31
cupboard,8,2.49,NN,757.73
myths,5,1.24,NN,614.91
distributor,11,1.53,NN,896.3
professionals,13,4.53,NN,816.97
boor,4,0.06,NN,720.33
yeasts,6,0.06,NN,705.48
creamery,8,0.12,NN,828.41
spirituals,10,0.08,NN,750.21
scone,5,0.49,NN,734.5
tortuous,8,0.12,JJ,806.37
potion,6,7.45,NN,785.22
fours,5,2.06,NN,666.81
underbid,8,0.02,VB,869.93
roadways,8,0.1,NN,658.03
unattached,10,0.55,JJ,814.83
discreditable,13,0.02,JJ,1223.82
abbreviation,12,0.24,NN,728.91
forefather,10,0.02,NN,751.77
unhorse,7,0.08,VB,985.73
sediment,8,0.41,NN,742.52
suspect,7,44.2,NN,629.71
antecedent,10,0.06,NN,818
peevish,7,0.16,JJ,692.18
demoniac,8,0.02,JJ,885.88
sued,4,4.86,VB,735.31
effortless,10,0.41,JJ,724.42
nonpayment,10,0.16,NN,813.84
buries,6,0.76,VB,800.06
erasure,7,0.06,NN,729.33
evergreen,9,0.2,NN,671.94
formations,10,0.65,NN,750.71
evaded,6,0.24,VB,764.55
capitulation,12,0.1,NN,935.46
lecturing,9,1.41,VB,741.63
sweeten,7,0.78,VB,811.19
ascending,9,0.69,VB,786.49
messenger,9,8.06,NN,596.76
snobs,5,0.51,NN,679.79
inoperable,10,0.65,JJ,1006.42
phobic,6,0.16,JJ,727.1
gigantic,8,3.73,JJ,694.85
survivor,8,4.33,NN,604.88
consequence,11,3.14,NN,688.97
follower,8,0.67,NN,800.58
dozed,5,0.8,VB,711.44
compile,7,0.53,VB,715.55
jotted,6,0.29,VB,734.96
kappa,5,1.04,NN,915.72
pubic,5,1.18,JJ,788.45
trophies,8,2.29,NN,685.83
smothered,9,1.31,VB,720.97
lauder,6,0.24,NN,879.11
disinclination,14,0.04,NN,1148.12
bower,5,0.25,NN,933.78
cartoonists,11,0.04,NN,821.35
computations,12,0.2,NN,897.93
sentimentality,14,0.47,NN,910.87
borrows,7,0.49,VB,688.16
subscription,12,1.33,NN,768.16
humus,5,0.06,NN,816.75
regimentation,13,0.1,NN,1023.13
drapery,7,0.06,NN,807.72
cutlery,7,0.35,NN,812.67
classmate,9,1.53,NN,679.56
tracers,7,0.24,NN,713.21
