Aux,CrSem,CeSem,CdEvSem,CeSynt,EPTrans,Country,Domain
laten,Anim,Anim,NonMent,PP,Tr,BE,F
laten,Anim,Anim,NonMent,PP,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,E
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Anim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
doen,Anim,Inanim,NonMent,NP,Intr,BE,E
laten,Inanim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,Ment,Impl,Tr,BE,F
laten,Anim,Anim,Ment,Impl,Tr,BE,F
laten,Anim,Anim,Ment,Impl,Tr,BE,M
laten,Anim,Anim,Ment,Impl,Tr,BE,M
laten,Anim,Anim,Ment,Impl,Tr,BE,M
laten,Anim,Anim,Ment,Impl,Tr,NL,M
laten,Anim,Anim,Ment,Impl,Tr,NL,M
laten,Anim,Anim,Ment,Impl,Tr,BE,M
laten,Anim,Anim,Ment,Impl,Tr,BE,F
laten,Anim,Anim,Ment,NP,Intr,NL,P
laten,Anim,Inanim,Ment,NP,Intr,BE,F
laten,Anim,Inanim,Ment,NP,Intr,NL,F
laten,Anim,Inanim,Ment,NP,Intr,NL,M
laten,Anim,Inanim,Ment,NP,Intr,BE,P
laten,Anim,Anim,NonMent,PP,Tr,BE,P
laten,Anim,Inanim,NonMent,PP,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,NP,Intr,NL,E
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
doen,Anim,Anim,NonMent,NP,Intr,BE,P
laten,Anim,Anim,NonMent,NP,Tr,BE,M
laten,Anim,Anim,NonMent,NP,Tr,BE,P
laten,Anim,Inanim,NonMent,PP,Tr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,Ment,Impl,Tr,NL,F
laten,Anim,Anim,NonMent,NP,Tr,NL,M
laten,Anim,Anim,NonMent,NP,Intr,BE,F
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Anim,NonMent,NP,Intr,BE,F
doen,Inanim,Anim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,Clause,Intr,BE,E
laten,Anim,Inanim,NonMent,NP,Intr,NL,E
laten,Anim,Inanim,NonMent,Clause,Intr,NL,E
laten,Anim,Inanim,NonMent,Clause,Intr,NL,E
laten,Anim,Inanim,NonMent,Clause,Intr,NL,E
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,Clause,Intr,NL,F
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,Clause,Intr,NL,M
laten,Anim,Inanim,NonMent,Clause,Intr,NL,P
laten,Anim,Inanim,NonMent,Clause,Intr,NL,P
laten,Anim,Inanim,NonMent,Clause,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,Clause,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,Clause,Intr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,Clause,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,NP,Intr,NL,E
laten,Anim,Inanim,NonMent,NP,Intr,BE,E
laten,Anim,Anim,NonMent,NP,Intr,BE,M
doen,Inanim,Anim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,E
laten,Anim,Inanim,NonMent,NP,Intr,NL,E
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
doen,Anim,Anim,Ment,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,PP,Tr,NL,F
laten,Anim,Anim,NonMent,PP,Tr,NL,F
laten,Anim,Anim,NonMent,Impl,Tr,NL,F
laten,Anim,Anim,NonMent,PP,Tr,NL,F
laten,Anim,Anim,NonMent,NP,Tr,BE,F
laten,Anim,Anim,NonMent,NP,Tr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,P
doen,Inanim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,F
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
doen,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,F
laten,Anim,Anim,NonMent,Impl,Tr,NL,F
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,E
laten,Anim,Anim,Ment,NP,Tr,NL,M
doen,Inanim,Inanim,Ment,NP,Intr,BE,F
laten,Inanim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,NP,Tr,BE,M
laten,Anim,Anim,NonMent,NP,Tr,BE,M
laten,Anim,Anim,NonMent,NP,Tr,NL,P
laten,Anim,Inanim,Ment,PP,Tr,BE,E
laten,Anim,Inanim,Ment,PP,Tr,NL,E
laten,Anim,Inanim,Ment,PP,Tr,NL,E
laten,Anim,Inanim,Ment,PP,Tr,NL,E
laten,Anim,Inanim,Ment,PP,Tr,BE,F
laten,Anim,Inanim,Ment,PP,Tr,NL,M
laten,Anim,Inanim,Ment,PP,Tr,NL,M
laten,Anim,Inanim,Ment,PP,Tr,BE,M
laten,Anim,Anim,Ment,Impl,Tr,BE,E
laten,Anim,Anim,Ment,Impl,Tr,NL,F
laten,Anim,Anim,Ment,Impl,Tr,NL,F
laten,Anim,Anim,Ment,PP,Tr,NL,F
laten,Anim,Anim,Ment,PP,Tr,NL,F
laten,Anim,Anim,Ment,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,F
laten,Anim,Anim,NonMent,Impl,Tr,BE,F
laten,Anim,Anim,Ment,PP,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,F
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,NP,Tr,NL,M
laten,Anim,Anim,NonMent,NP,Tr,NL,P
laten,Anim,Anim,NonMent,NP,Tr,NL,F
laten,Anim,Anim,NonMent,Impl,Tr,NL,P
doen,Inanim,Anim,Ment,NP,Intr,BE,E
laten,Anim,Anim,NonMent,NP,Tr,BE,E
laten,Anim,Inanim,NonMent,PP,Tr,NL,F
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Anim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,BE,F
laten,Anim,Inanim,NonMent,NP,Intr,BE,F
laten,Anim,Anim,NonMent,NP,Intr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,M
laten,Inanim,Anim,NonMent,Impl,Tr,BE,M
laten,Anim,Anim,NonMent,NP,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,BE,E
laten,Anim,Anim,NonMent,PP,Tr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,M
doen,Inanim,Anim,Ment,NP,Tr,BE,P
laten,Inanim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Anim,NonMent,Impl,Tr,NL,E
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,PP,Tr,NL,P
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Anim,NonMent,Impl,Tr,NL,F
laten,Anim,Anim,NonMent,Impl,Tr,BE,F
laten,Anim,Anim,NonMent,Impl,Tr,NL,F
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,BE,E
laten,Anim,Anim,NonMent,Impl,Tr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,BE,E
laten,Anim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Anim,NonMent,NP,Intr,NL,P
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,NL,E
doen,Inanim,Inanim,NonMent,NP,Intr,BE,F
doen,Inanim,Inanim,NonMent,NP,Intr,BE,P
doen,Inanim,Inanim,NonMent,NP,Intr,BE,P
doen,Inanim,Inanim,NonMent,NP,Intr,BE,P
laten,Anim,Inanim,NonMent,NP,Intr,NL,E
laten,Anim,Inanim,NonMent,NP,Intr,NL,E
laten,Anim,Inanim,NonMent,NP,Intr,NL,E
doen,Anim,Inanim,NonMent,NP,Intr,BE,P
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
doen,Inanim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Inanim,NonMent,NP,Intr,NL,F
laten,Inanim,Inanim,NonMent,NP,Intr,NL,P
laten,Anim,Anim,NonMent,NP,Tr,NL,M
laten,Anim,Anim,NonMent,NP,Tr,NL,P
laten,Anim,Anim,NonMent,NP,Tr,BE,M
laten,Inanim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,M
doen,Anim,Anim,NonMent,Impl,Intr,BE,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,M
laten,Inanim,Anim,NonMent,NP,Intr,NL,M
laten,Anim,Inanim,NonMent,NP,Intr,BE,M
laten,Anim,Inanim,NonMent,NP,Intr,NL,F
doen,Inanim,Inanim,NonMent,NP,Intr,BE,F
doen,Anim,Inanim,NonMent,NP,Intr,BE,F
doen,Anim,Inanim,NonMent,NP,Intr,BE,M
doen,Inanim,Inanim,NonMent,NP,Intr,BE,E
laten,Anim,Anim,NonMent,NP,Intr,BE,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,BE,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,BE,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,NonMent,NP,Intr,NL,F
laten,Anim,Anim,Ment,NP,Intr,NL,M
laten,Anim,Anim,Ment,NP,Intr,NL,P
laten,Anim,Anim,NonMent,NP,Intr,NL,E
laten,Anim,Anim,NonMent,NP,Intr,NL,E
laten,Anim,Anim,NonMent,NP,Intr,BE,E
