position;Title;meaning;Publ_year
1;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;3;2000
2;Юрий Давыдов. Синие тюльпаны (1988-1989) ;3;1988
3;И. Грекова. Перелом (1987) ;3;1987
4;Ю. О. Домбровский. Факультет ненужных вещей, часть 2 (1978) ;3;1978
5;Юрий Трифонов. Дом на набережной (1976) ;2;1976
6;Александр Солженицын. В круге первом, т.1, гл. 1-25 (1968) // «Новый Мир», 1990 ;1;1968
7;Ю. О. Домбровский. Хранитель древностей, часть 2 (1964) ;3;1964
8;Ю. О. Домбровский. Хранитель древностей, часть 2 (1964) ;3;1964
9;И. Грекова. Летом в городе (1962) ;3;1962
10;Александр Солженицын. Один день Ивана Денисовича (1961) ;2;1961
11;И. Грекова. Первый налет (1960) ;3;1960
12;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;2;1960
13;Василий Гроссман. Жизнь и судьба, часть 2 (1960) ;2;1960
14;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940) ;2;1929
15;М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937) ;1;1936
16;А. Н. Толстой. Черная пятница (1924) ;1;1924
17;А. Н. Толстой. На рыбной ловле (1923) ;3;1923
18;Максим Горький. Чарли Мэн (1906) ;1;1906
19;М. Ю. Лермонтов. Герой нашего времени (1839-1841) ;2;1839
20;М. Ю. Лермонтов. Герой нашего времени (1839-1841) ;2;1839
21;Дина Рубина. Медная шкатулка (сборник) (2015) ;2;2015
22;Александр Снегирев. Вера (2015) ;3;2015
23;Людмила Макарова. Жемчужный тур (2014) ;3;2014
24;Виктор Пелевин. Любовь к трем цукербринам (2014) ;2;2014
25;Виктор Пелевин. Любовь к трем цукербринам (2014) ;2;2014
26;Виктор Пелевин. Любовь к трем цукербринам (2014) ;3;2014
27;Виктор Пелевин. Любовь к трем цукербринам (2014) ;3;2014
28;Владимир Базанов. Картина в багетной раме // «Сибирские огни», 2013 ;3;2013
29;Владимир Васильев. Шуруп (2013) ;3;2013
30;Сергей Каледин. Аллея Руж // «Огонек», 2013 ;3;2013
31;Сергей Каледин. Аллея Руж // «Огонек», 2013 ;3;2013
32;Алексей Моторов. Преступление доктора Паровозова (2013) ;2;2013
33;Виктор Пелевин. Бэтман Аполло (2013) ;3;2013
34;Виктор Пелевин. Бэтман Аполло (2013) ;3;2013
35;Виктор Пелевин. Бэтман Аполло (2013) ;3;2013
36;Алексей Иванов. Комьюнити (2012) ;3;2012
37;Алексей Иванов. Комьюнити (2012) ;1;2012
38;Ольга Новикова. Каждый убивал // «Сибирские огни», 2012 ;3;2012
39;Даниил Корецкий. Менты не ангелы, но… (2011) ;2;2011
40;Юлия Лавряшина. Улитка в тарелке (2011) ;1;2011
41;Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 1-20 (2011) ;3;2011
42;Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 21-39 (2011) ;3;2011
43;Виктор Пелевин. S.N.U.F.F (2011) ;3;2011
44;Дина Рубина. Окна (2011) ;2;2011
45;А. А. Ганиева. Вечер превращается в ночь (2010) ;3;2010
46;Григорий Дединский. Пиковая дама // «Криминальный отдел», 2010 ;2;2010
47;Борис Евсеев. Евстигней // «Октябрь», 2010 ;2;2010
48;Ю. И. Андреева. Многоточие сборки (2009) ;3;2009
49;Михаил Вартбург. Коротко о пузырях // «Знание - сила», 2009 ;1;2009
50;Михаил Вартбург. Коротко о пузырях // «Знание - сила», 2009 ;1;2009
51;Александр Иличевский. Перс (2009) ;3;2009
52;Александр Иличевский. Перс (2009) ;2;2009
53;Полина Волошина, Евгений Кульков. Маруся (2009) ;3;2009
54;Полина Волошина, Евгений Кульков. Маруся (2009) ;3;2009
55;Мариам Петросян. Дом, в котором... (2009) ;3;2009
56;Сергей Шаргунов. Обман (2009) // ,  ;3;2009
57;Альберт Валентинов. Умирать будем молодыми // «Наука и религия», 2008 ;1;2008
58;Александр Иличевский. Костер // «Октябрь», 2008 ;3;2008
59;Александр Терехов. Каменный мост (1997-2008) ;3;1997
60;Александр Терехов. Каменный мост (1997-2008) ;3;1997
61;Александр Терехов. Каменный мост (1997-2008) ;3;1997
62;В. Хорт, С. Тишина. Ведомые свыше // «Наука и жизнь», 2008 ;3;2008
63;Маша Трауб. Не вся la vie (2008) ;2;2008
64;Сергей Шаргунов. Чародей (2008) // ,  ;3;2008
65;Сергей Абаимов. Верность навсегда // «Наука и жизнь», 2007 ;3;2007
66;Сергей Абаимов. Верность навсегда // «Наука и жизнь», 2007 ;3;2007
67;Михаил Гиголашвили. Типун в зипуне (2007) // «Зарубежные записки», 2008 ;2;2007
68;Михаил Гиголашвили. Чертово колесо (2007) ;2;2007
69;Михаил Гиголашвили. Чертово колесо (2007) ;2;2007
70;Михаил Гиголашвили. Чертово колесо (2007) ;2;2007
71;Михаил Гиголашвили. Чертово колесо (2007) ;3;2007
72;Михаил Гиголашвили. Чертово колесо (2007) ;3;2007
73;Николай Желунов. Проект «Ленин» (2007) ;3;2007
74;Александр Иличевский. Горло Ушулука // «Октябрь», 2007 ;3;2007
75;Ирина Краева. Тим и Дан, или Тайна «Разбитой коленки»: сказочная повесть (2007) ;3;2007
76;Евгения Пищикова. Пятиэтажная Россия (2007) // «Русская Жизнь», 2008 ;2;2007
77;Александр Силаев. Армия Гутэнтака (2007) ;3;2007
78;Евгений Сухов. Делу конец -- сроку начало (2007) ;3;2007
79;Евгений Сухов. Делу конец -- сроку начало (2007) ;3;2007
80;Дмитрий Колодан, Карина Шаинян. Затмение (2007) ;3;2007
81;Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007) ;3;2007
82;Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007) ;3;2007
83;Дмитрий Колодан, Карина Шаинян. Над бездной вод (2007) ;3;2007
84;Захар Прилепин. Санькя (2006) ;3;2006
85;коллективный. Мы работаем на грани известного и неизвестного // «Знание - сила», 2006 ;3;2006
86;обобщенный. Кунсткамера // «Наука и жизнь», 2006 ;3;2006
87;Дмитрий Глуховский. Метро 2033 (2005) ;3;2005
88;Александр Иличевский. Бутылка (2005) // «Зарубежные записки», 2008 ;2;2005
89;Александр Терехов. Коммуналка (1995-2005) ;3;1995
90;Андрей Геласимов. Рахиль (2004) // «Октябрь», 2003 ;3;2004
91;Геннадий Горелик. Андрей Сахаров. Наука и свобода (2004) ;1;2004
92;Елена Хаецкая. Синие стрекозы Вавилона/ Семеро праведных в раю господина (2004) ;3;2004
93;Елена Хаецкая. Синие стрекозы Вавилона/ Семеро праведных в раю господина (2004) ;3;2004
94;Гаджеты (2004) // «Хулиган», 2004.08.15 ;3;2004
95;Анатолий Азольский. Глаша // «Новый Мир», 2003 ;2;2003
96;Олег Гладов. Любовь стратегического назначения (2000-2003) ;3;2000
97;Олег Гладов. Любовь стратегического назначения (2000-2003) ;3;2000
98;Александр Клейн. Алхимическая формула Творца // «Пятое измерение», 2003 ;3;2003
99;Илья Крупник. Струна // «Звезда», 2003 ;3;2003
100;Игорь Ларин. Заповеди Мераба // «Звезда», 2003 ;3;2003
101;Н. Леонов, А. Макеев. Гроссмейстер сыска (2003) ;3;2003
102;Марина Москвина. Небесные тихоходы: путешествие в Индию (2003) ;0;2003
103;В. В. Овчинников. Калейдоскоп жизни (2003) ;0;2003
104;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;0;2003
105;Татьяна Устинова. Подруга особого назначения (2003) ;0;2003
106;Татьяна Устинова. Подруга особого назначения (2003) ;0;2003
107;Борис Устюгов. Николай Фоменко: «У нас вся страна едет в левом ряду» (2003) // «Известия», 2003.02.03 ;0;2003
108;Г. Я. Бакланов. Дурень // «Знамя», 2002 ;0;2002
109;Ксения Букша. Эрнст и Анна (2002) ;0;2002
110;Дмитрий Быков. Орфография (2002) ;0;2002
111;Дмитрий Быков. Орфография (2002) ;0;2002
112;Дмитрий Быков. Орфография (2002) ;0;2002
113;Влада Валеева. Скорая помощь (2002) ;0;2002
114;Дмитрий Емец. Таня Гроттер и магический контрабас (2002) ;0;2002
115;Виталий Кржишталович. Осада // «Звезда», 2002 ;0;2002
116;Борис Мурадов. Джордж Харрисон. Памяти поклонника Ф-1 (2002) // «Формула», 2002.01.15 ;1;2002
117;Владимир Скрипкин. Тинга // «Октябрь», 2002 ;1;2002
118;Дмитрий Соколов-Митрич. Челюсти. Пенсионерам спилили зубы (2002) // «Известия», 2002.02.08 ;3;2002
119;Татьяна Устинова. Персональный ангел (2002) ;0;2002
120;Елена Чижова. Лавра // «Звезда», 2002 ;0;2002
121;Александр Гаррос, Алексей Евдокимов. [Голово]ломка (2001) ;2;2001
122;Александр Гаррос, Алексей Евдокимов. [Голово]ломка (2001) ;0;2001
123;Андрей Дмитриев. Дорога обратно // «Знамя», 2001 ;2;2001
124;Марина Дяченко, Сергей Дяченко. Магам можно все (2001) ;0;2001
125;Марина Дяченко, Сергей Дяченко. Магам можно все (2001) ;0;2001
126;Марина Дяченко, Сергей Дяченко. Магам можно все (2001) ;0;2001
127;Марина Дяченко, Сергей Дяченко. Магам можно все (2001) ;0;2001
128;Марина Дяченко, Сергей Дяченко. Магам можно все (2001) ;0;2001
129;Марина Дяченко, Сергей Дяченко. Магам можно все (2001) ;1;2001
130;Андрей Измайлов. Трюкач (2001) ;0;2001
131;Кирилл Кобрин. Обманщик (о кн. Теофиля Готье «Путешествие на Восток») // «Октябрь», 2001 ;0;2001
132;Елизавета Козырева. Дамская охота (2001) ;0;2001
133;Борис Минаев. Детство Левы (2001) ;0;2001
134;Александр Михайлов. Капкан для одинокого волка (2001) ;0;2001
135;Александр Михайлов. Капкан для одинокого волка (2001) ;0;2001
136;Александр Михайлов. Капкан для одинокого волка (2001) ;0;2001
137;Александр Михайлов. Капкан для одинокого волка (2001) ;0;2001
138;Ольга Славникова. Бессмертный. Повесть о настоящем человеке (2000-2001) // «Октябрь», 2001 ;0;2000
139;Ольга Славникова. Бессмертный. Повесть о настоящем человеке (2000-2001) // «Октябрь», 2001 ;0;2000
140;Виктор Слипенчук. Зинзивер (2001) ;0;2001
141;Виктор Слипенчук. Зинзивер (2001) ;3;2001
142;Сергей Таранов. Черт за спиной (2001) ;0;2001
143;Борис Хазанов. Апофеоз (2001) ;0;2001
144;Михаил Ходаренок. Зенитные ракетные страсти // «Звезда», 2001 ;1;2001
145;Леонид Юзефович. Костюм Арлекина (2001) ;0;2001
146;Леонид Юзефович. Костюм Арлекина (2001) ;0;2001
147;Марианна Баконина. Девять граммов пластита (2000) ;0;2000
148;Марианна Баконина. Девять граммов пластита (2000) ;0;2000
149;Марианна Баконина. Школа двойников (2000) ;0;2000
150;Юрий Буйда. Щина // «Знамя», 2000 ;1;2000
151;Виктор Доценко. Тридцатого уничтожить! (2000) ;2;2000
152;Андрей Житков. Супермаркет (2000) ;0;2000
153;Алексей Иванов. Сердце Пармы (2000) ;0;2000
154;Владимир Кунин. Кыся (1998-2000) ;0;1998
155;Анатолий Мельник. Авторитет (2000) ;0;2000
156;Татьяна Моспан. Подиум (2000) ;0;2000
157;Валерий Попов. Ужас победы (2000) ;0;2000
158;Валерий Попов. Ужас победы (2000) ;0;2000
159;Алексей Рыбин. Последняя игра (2000) ;0;2000
160;Владимир Черкасов. Черный ящик (2000) ;0;2000
161;Владимир Черкасов. Черный ящик (2000) ;0;2000
162;Сергей Каледин. Записки гробокопателя (1987-1999) ;0;1987
163;Николай Климонтович. Последняя газета (1997-1999) ;0;1997
164;Сергей Осипов. Страсти по Фоме. Книга вторая. Примус интер парэс (1998) ;0;1998
165;Сергей Осипов. Страсти по Фоме. Книга третья. Книга Перемен (1998) ;3;1998
166;Ирина Ратушинская. Одесситы (1998) ;0;1998
167;Ирина Ратушинская. Одесситы (1998) ;0;1998
168;Михаил Чулаки. Прощай, зеленая Пряжка (1998) ;0;1998
169;Евгений Весник. Дарю, что помню (1997) ;0;1997
170;Марина Вишневецкая. Вышел месяц из тумана (1997) ;1;1997
171;Евгений Лукин. Катали мы ваше солнце (1997) ;0;1997
172;Евгений Лукин. Катали мы ваше солнце (1997) ;0;1997
173;Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997) ;2;1996
174;Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997) ;0;1996
175;Владимир Маканин. Андеграунд, или герой нашего времени (1996-1997) ;1;1996
176;Митьки. Постскриптум (1997) ;0;1997
177;Иван Охлобыстин. Горе от ума (1997) // «Столица», 1997.07.29 ;0;1997
178;Валерий Панюшкин. Ветер с Востока (1997) // «Столица», 1997.02.17 ;3;1997
179;Сергей Тополь, Владимир Шухмин. К вопросу о культуре мордобоя (1997) // «Столица», 1997.06.17 ;0;1997
180;Вячеслав Костиков. Роман с президентом (1996) ;2;1996
181;Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996) ;0;1996
182;Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996) ;0;1996
183;Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996) ;3;1996
184;Андрей Лазарчук, Михаил Успенский. Посмотри в глаза чудовищ (1996) ;0;1996
185;Константин Серафимов. Экспедиция во мрак (1978-1996) ;3;1978
186;Константин Серафимов. Экспедиция во мрак (1978-1996) ;0;1978
187;Семен Экштут. Новорожденная свобода // «Родина», 1996 ;0;1996
188;Ю. Баженов. Земля людей. В Гватемалу с черного хода // «Вокруг света», 1995 ;0;1995
189;Михаил Козаков. Актерская книга (1978-1995) ;2;1978
190;Андрей Лазарчук. Все, способные держать оружие... (1995) ;0;1995
191;Андрей Лазарчук. Все, способные держать оружие... (1995) ;3;1995
192;Сергей Солоух. Клуб одиноких сердец унтера Пришибеева (1991-1995) ;0;1991
193;Марина Дяченко, Сергей Дяченко. Привратник (1994) ;0;1994
194;Марина Дяченко, Сергей Дяченко. Привратник (1994) ;0;1994
195;Николай Климонтович. Дорога в Рим (1991-1994) ;2;1991
196;Ю. М. Нагибин. Моя золотая теща (1994) ;0;1994
197;Анатолий Найман. Славный конец бесславных поколений (1994) ;2;1994
198;Анатолий Найман. Славный конец бесславных поколений (1994) ;2;1994
199;Нина Садур. Сад (1994) ;2;1994
200;Виктор Пелевин. Жизнь насекомых (1993) ;3;1993
201;Виктор Пелевин. Жизнь насекомых (1993) ;3;1993
202;Вячеслав Рыбаков. Гравилет «Цесаревич» (1993) ;0;1993
203;Александра Маринина. Стечение обстоятельств (1992) ;0;1992
204;Анатолий Приставкин. Кукушата или жалобная песнь для успокоения сердца (1992) ;0;1992
205;Виктор Астафьев. Последний поклон (1968-1991) ;0;1968
206;Виктор Астафьев. Последний поклон (1968-1991) ;0;1968
207;Алексей Иванов. Охота на «Большую Медведицу» (1990-1991) ;1;1990
208;Алексей Иванов. Победитель Хвостика (1990-1991) ;0;1990
209;Алексей Иванов. Победитель Хвостика (1990-1991) ;1;1990
210;Александр Кабаков. Сочинитель (1990-1991) ;0;1990
211;Александр Кабаков. Сочинитель (1990-1991) ;0;1990
212;Александр Терехов. Мемуары срочной службы (1991) ;2;1991
213;Александр Кабаков. Русские не придут (1990) ;3;1990
214;Владимир Маканин. Гражданин убегающий (1970-1990) ;0;1970
215;Еремей Парнов. Александрийская гемма (1990) ;0;1990
216;Михаил Анчаров. Как Птица Гаруда (1989) ;0;1989
217;Михаил Анчаров. Как Птица Гаруда (1989) ;0;1989
218;Михаил Анчаров. Как Птица Гаруда (1989) ;0;1989
219;Фазиль Искандер. Сандро из Чегема (Книга 1) (1989) ;0;1989
220;Фазиль Искандер. Сандро из Чегема (Книга 2) (1989) ;2;1989
221;Владимир Сорокин. Кисет // «Родник», 1989 ;2;1989
222;О. В. Волков. Из воспоминаний старого тенишевца (1988) ;2;1988
223;Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987) ;1;1987
224;Владимир Дудинцев. Белые одежды / Вторая часть (1987) ;0;1987
225;Владимир Личутин. Любостай (1987) ;0;1987
226;Дмитрий Биленкин. Все образы мира (1985) ;0;1985
227;Еремей Парнов. Третий глаз Шивы (1985) ;3;1985
228;Юрий Дружков (Постников). Волшебная школа (1984) ;0;1984
229;Владимир Маканин. Утрата (1984) ;0;1984
230;Владимир Маканин. Утрата (1984) ;0;1984
231;В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2 (1983) ;0;1983
232;В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 5 (1983) ;0;1983
233;В. Лихоносов. Ненаписанные воспоминания. Наш маленький Париж. Ч. 5 (1983) ;0;1983
234;Михаил Тарковский. С людьми и без людей (1983) // «Октябрь», 2003 ;0;1983
235;Артем Анфиногенов. А внизу была земля (1982) ;0;1982
236;Сергей Довлатов. Зона (Записки надзирателя) (1965-1982) ;3;1965
237;Леонид Утесов. «Спасибо, сердце!» (1982) ;0;1982
238;Леонид Утесов. «Спасибо, сердце!» (1982) ;2;1982
239;В. П. Катаев. Юношеский роман (1980-1981) ;0;1980
240;Нина Катерли. Коллекция доктора Эмиля (1981) ;3;1981
241;С. Кулябин. Стакан воды // «Огонек», 1981 ;0;1981
242;Ю. В. Трифонов. Исчезновение (1981) ;0;1981
243;Михаил Анчаров. Самшитовый лес (1979) ;1;1979
244;Г. Я. Бакланов. Навеки девятнадцатилетние (1979) ;0;1979
245;Евгений Велтистов. Ноктюрн пустоты (Телерепортаж Джона Бари, спецкора) (1978-1979) ;0;1978
246;Владислав Крапивин. Трое с площади Карронад (1979) ;0;1979
247;Владислав Крапивин. Трое с площади Карронад (1979) ;0;1979
248;Владислав Крапивин. Трое с площади Карронад (1979) ;0;1979
249;Всеволод Овчинников. Корни дуба. Впечатления и размышления об Англии и англичанах (1974-1978) // «Новый мир», 1979 ;0;1974
250;Виктор Пронин. Самоубийство (1978) ;0;1978
251;Виктор Пронин. Самоубийство (1978) ;0;1978
252;Виктор Пронин. Самоубийство (1978) ;2;1978
253;Владимир Личутин. Крылатая Серафима (1977) ;0;1977
254;Булат Окуджава. Путешествие дилетантов (Из записок отставного поручика Амирана Амилахвари) (1971-1977) ;1;1971
255;Василий Песков, Борис Стрельников. Земля за океаном (1977) ;2;1977
256;Василий Песков, Борис Стрельников. Земля за океаном (1977) ;0;1977
257;Сергей Залыгин. Комиссия (1976) ;0;1976
258;Владислав Крапивин. Болтик (1976) ;0;1976
259;Борис Хазанов. Я воскресение и жизнь (1976) ;0;1976
260;Эдуард Шим. Ребята с нашего двора (1976) ;0;1976
261;Юрий Бондарев. Берег (1975) ;0;1975
262;Евгений Велтистов. Победитель невозможного (1975) ;0;1975
263;Владимир Войнович. Жизнь и необычайные приключения солдата Ивана Чонкина (1969-1975) ;0;1969
264;Р. Б. Гуль. Котовский. Анархист ? маршал (1975) ;0;1975
265;А. И. Солженицын. Бодался теленок с дубом (1967-1974) ;0;1967
266;Федор Кнорре. Каменный венок (1973) ;0;1973
267;Федор Кнорре. Каменный венок (1973) ;0;1973
268;Ю. В. Трифонов. Нетерпение (1973) ;0;1973
269;С. М. Голицын. Тайна старого Радуля (1972) ;0;1972
270;Роман Кармен. Но пасаран! [Ч. 1] (1972) ;0;1972
271;Роман Кармен. Но пасаран! [Ч. 1] (1972) ;0;1972
272;Аркадий Стругацкий, Борис Стругацкий. Град обреченный (1972) ;0;1972
273;М. М. Рощин. Ремонт (1971) ;0;1971
274;Ю. В. Трифонов. Долгое прощание (1971) ;1;1971
275;Василий Аксенов. Любовь к электричеству (1969) ;0;1969
276;Н. Баранская. Неделя как неделя (1969) ;0;1969
277;Юрий Бондарев. Горячий снег (1969) ;0;1969
278;Юрий Бондарев. Горячий снег (1969) ;3;1969
279;Юрий Бондарев. Горячий снег (1969) ;0;1969
280;Юрий Бондарев. Горячий снег (1969) ;0;1969
